project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
Three Days of Service: 2016-17 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Revitalization of Manderson Community Garden,2016-17,Fall 2016,Fall 2016,27,20,0,0,0,1,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),ONE Omaha,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (010),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Organized plants and winterized garden,2016-17,Fall 2016,Fall 2016,8,20,0,0,0,1,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Benson Plant Rescue,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (012),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Park cleanup and storm drain labeling (Aksarben),2016-17,Fall 2016,Fall 2016,10,20,0,0,1,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (014),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Served lunch and provided companionship to senior residents,2016-17,Fall 2016,Fall 2016,10,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Marquis Place Assisted Living,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (015),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Science and nature exploration with elementary students,2016-17,Fall 2016,Fall 2016,15,20,0,0,2,0,0,1 MCC Student,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Upstream Weeds,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"In addition to being a Boys and Girls Club Legacy site, we also host Camp Nakomis every summer. The camp office is in need of a face lift. We would utilize volunteers to help paint the camp office/shelves and storage area as well as organize the space. In addition, we have New Employee Orientation packets that will also need to be put together for the remainder of the year. The extra hands would be of great help!",2017-18,Fall 2017,Fall 2017,13,58,1,6,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Boys and Girls Club of the Midlands,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service:2 017-18( 0018),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Grading and repairing a section of hiking trail that is greatly degraded by using stone blocks to act as steps.,2017-18,Fall 2017,Fall 2017,17,82,0,0,0,1,0,N/A,pre-post surveys,Engineering,Fontenelle Forest,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Lawn care - rake leaves, put them in bags. Weeding and other lawn maintenance chores.",2017-18,Fall 2017,Fall 2017,8,40,1,6,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Catholic Charities - Phoenix House,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"At Girls Inc. of Omaha, the volunteers will be painting one of our classrooms. The room used to be our Boutique, but we are in the process of transforming it into a behavior management room.",2017-18,Fall 2017,Fall 2017,7,27,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Girls Inc,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"No regular custodial services. Group will be cleaning bathrooms, mopping floors, vacuuming, dusting, window cleaning of organization. Mostly inside.",2017-18,Fall 2017,Fall 2017,12,43,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Omaha Street School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (009),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Planting native grasses and mulching multiple garden beds.,2017-18,Fall 2017,Fall 2017,6,25,5,28,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Dundee Elementary,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (010),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be doing some fall cleaning at both our community center and our apartment complex. Some cleaning and organizing will be done inside, some outside.",2017-18,Fall 2017,Fall 2017,18,88,0,0,2,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),inCOMMON Community Development,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (012),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"During the month of October, our center celebrates Day of the Dead, which is an annual Spanish Cultural event for the community. the center need to be decorated for the occasion. Our event is on October 27th.",2017-18,Fall 2017,Fall 2017,16,79,0,0,0,0,0,N/A,pre-post surveys,Spanish Club,Intercultural Senior Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (014),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"NorthStar is preparing grounds for winter. The majority of the group will pull weeds, and help our Facilities Manager with outdoor project and will improve drainage from various areas of property. The rest of the volunteers will work on a book organization project (English and English literature proficiency is helpful).",2017-18,Fall 2017,Fall 2017,22,95,0,0,2,0,0,N/A,pre-post surveys,Engineering,NorthStar Foundation,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (020),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Construction or deconstruction on one of 42 properties. Jobs may include, framing, siding, drywall, landscaping, painting, etc... Anything related to home building.",2017-18,Fall 2017,Fall 2017,9,47,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Omaha,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (022),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be working at our Thrift Store helping to organize and sort donations.,2017-18,Fall 2017,Fall 2017,11,61,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),New Visions Homeless Services,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (023),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be helping seniors at Holy Name turn an into a garden, giving the seniors an opportunity to grow foods for themselves and their families thus increasing the self-sufficiency of the seniors. Volunteers will clear bushes/weeds, remove garbage/debris from the area, and, as time allows, plant ground cover to keep the weeds from returning over the winter.",2017-18,Fall 2017,Fall 2017,12,67,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2017-18 (024),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Housekeeping, raking leaves, and cleaning.",2017-18,Fall 2017,Fall 2017,10,55,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Notre Dame Housing,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Title IV-E Educational Stipend Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Nebraska Department of Health and Human Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
TLC/P4K: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Partnership 4 Kids afterschool program is partnered with the Thompson Learning Community students, who act as mentors to the P4K students. They exchange journals with their partnered mentors to ask questions about how to be prepared for college and TLC students respond back with answers of their experience. They work in groups to discuss their strengths, they present on their findings and they build relationships as a result. The students collectively will work on their food drive for Together Inc. and Heart Ministry Center, the donations will go to fill Together, Inc.’s and Heart Ministry Center's pantries. At the beginning of next semester they will organize a pancake feed for Together Inc. as well (January date). ",2017-18,Fall 2017,Fall 2017,125,17,117,10,0,0,0,N/A,N/A,Thompson Learning Community,Partnership 4 Kids (P4K),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Tri-Faith Initiative Student Presentations: 2017-18 (001),Community-Based Learning,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"18 UNO students interviewed 18 leaders of this unique Omaha organization in an effort to understand their motivations to start and continue to support the Tri-Faith Initiative. Students' presentations will reveal what they learned through research and attendees can learn more about the Tri-Faith Initiative. The Tri-Faith Initiative is made up of a group of Jews, Christians, and Muslims, who have come together as neighbors on one campus, committed to practicing respect, acceptance, and trust.",2017-18,Spring 2018,Spring 2018,18,2,0,0,21,1,0,"A student project that was part of Dr. Ramazan Kilinc's honors colloquia class titled, HONR 3000 Sacred and Violent. Confirmed by faculty member. A secondary engagement type for this project is research.",N/A,"Political Science, Department of",Tri-Faith Initiative,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
UNO Earth Month: The Island: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Visit with and understand how community organizations are addressing climate change and how you can get involved in action. Also enjoy a screening of ""The Island President"" a 2011 documentary film about the efforts of then-President of the Maldives, Mohamed Nasheed, tackling rising sea levels resulting from climate change. ADDITIONAL COMMUNITY PARTNERS: Sierra Club – Nebraska Chapter; Omaha Biofuels Coop; Nebraskans for Solar; The Center for Biological Diversity;The Citizen’s Climate Lobby; Nebraska Interfaith Power & Lights. ADDITIONAL CAMPUS PARTNERS: Office of Sustainability",2016-17,Spring 2017,Spring 2017,0,0,0,0,67,0,0,N/A,N/A,Center for Urban Sustainability,Omaha Together One Community (OTOC),Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
UNO Social Media Labs: Betty Farmer Western Carolina University: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"At the heart of university community engagement is the promise of mutually beneficial relationships for both community partners and university participants. But what are the benefits, and how do we know when we achieve them?  In this presentation, Betty Farmer, professor of communication and public relations at Western Carolina University (WCU), will identify specific benefits for community partners, universities, faculty, and students and provide examples of ways to measure and promote desired outcomes.",2016-17,Fall 2016,Fall 2016,0,0,0,0,60,0,0,N/A,N/A,Social Media Lab,Western Carolina University,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Vectors of Violence: 2017-18 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"This educational forum brings together scholars, students, and community members to engage in meaningful dialogue on how, when, and why governments and ordinary people supported, complied with, ignored, or resisted targeted oppression and racial violence in different historical contexts. By exploring emerging research on the representation of historical persecution and violence, this educational forum seeks to examine the lasting impact of racism for communities in different historical contexts. This program is part of a wider outreach initiative to bring Holocaust studies into conversation with ethnic studies in the North American academy. This program is co-organized by the Jack, Joseph and Morton Mandel Center for Advanced Holocaust Studies at the US Holocaust Memorial Museum and the Sam and Frances Fried Holocaust and Genocide Academy in conjunction with the University of Nebraska Omaha.",2017-18,Spring 2018,Spring 2018,0,0,0,0,441,0,0,N/A,N/A,"History, Department of",United States Holocaust Memorial Museum,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Served dinner to veterans and their families in support of annual fundraiser,2016-17,Fall 2016,Fall 2016,12,20,0,0,0,2,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Veterans of Foreign Wars 2503,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Cleaned and painted indoor recreation area,2016-17,Fall 2016,Fall 2016,6,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),American Legion 373,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Landscaped outdoor grounds,2016-17,Fall 2016,Fall 2016,6,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Catholic Charities - Phoenix House,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Scanned and digitized archived documents,2016-17,Fall 2016,Fall 2016,10,20,0,0,0,1,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Kaneko,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Greenhouse and outdoor garden revitalization,2016-17,Fall 2016,Fall 2016,7,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Lauritzen Gardens,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Sorted and organized donations,2016-17,Fall 2016,Fall 2016,7,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Open Door Mission,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2016-17 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Cleaned and painted indoor dining facility,2016-17,Fall 2016,Fall 2016,9,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Veterans of Foreign Wars 247,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2017-18 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be making veteran appreciation cards for the residents of the Veterans Home.,2017-18,Fall 2017,Fall 2017,7,29,5,20,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Eastern Nebraska Veterans Home,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with a variety of deconstruction projects.,2017-18,Fall 2017,Fall 2017,7,33,0,0,0,0,0,N/A,pre-post surveys,Women's Tennis Team,Habitat for Humanity: Omaha,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2017-18 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with a variety of deconstruction projects.,2017-18,Fall 2017,Fall 2017,9,38,0,0,0,1,0,N/A,pre-post surveys,Men's Tennis Team,Habitat for Humanity: Omaha,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be doing a trash clean-up of the campus and making posters for the Veterans Day event.,2017-18,Fall 2017,Fall 2017,17,83,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Siena Francis House,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2017-18 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be assisting with a deep cleaning of the Post.,2017-18,Fall 2017,Fall 2017,9,37,1,6,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Veterans of Foreign Wars 247,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Veterans Day of Service: 2017-18 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with outdoor clean up tasks.,2017-18,Fall 2017,Fall 2017,9,44,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Victory Riding Academy,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
"Victimization Research and Data by Jim Lynch, Ph.D.: 2017-18 (001)",Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Jim Lynch, Ph.D., will be on campus Friday, April 6 to present his latest research in victimization. His talk, entitled ""Victimization Research and Data: If You Build It Will They Come?"" will take place in Rooms 230/231 in the CEC building. It will start at 10:30 A.M. and run until noon. This event is free and open to the public, but pre-registration is required. Lynch is a professor and former chair of the Department of Criminology and Criminal Justice at the University of Maryland. Prior to joining the department, he served as the director of the Bureay of Justice Statistics in the United States Department of Justice. His research focuses on victim surveys, victimization risk, the role of coercion in social control, and crime statistics.",2017-18,Spring 2018,Spring 2018,0,0,0,0,34,0,0,N/A,N/A,"Criminology and Criminal Justice, School of",University of Maryland,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Village Basketball Alliance Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Spring 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Hope Center for Kids,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: American Lung Association Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),American Lung Association in Nebraska,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Butte Humane Society Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Summer 2017,Summer 2017,2,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Butte Humane Society,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Calvary Omaha Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,3,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Calvary Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: CASA Douglas County Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,3,2,0,0,3,2,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Court Appointed Special Advocates in Douglas County,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: CASA Douglas County Time: 2017-18 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2017-18,Fall 2017,Fall 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Court Appointed Special Advocates in Douglas County,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Completely Kids Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,2,2,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Completely Kids,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Do Space Time: 2017-18 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2017-18,Fall 2017,Fall 2017,2,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Do Space,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Foster Grandparent Program in Gering Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,4,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Community Action Partnership of Western Nebraska: Foster Grandparent Program in Gering,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Foster Grandparent Program in Omaha Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,3,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Eastern Nebraska Office on Aging: Foster Grandparent Program in Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Girl Scouts Spirit of Nebraska Time: 2017-18 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2017-18,Fall 2017,Fall 2017,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Girl Scouts Spirit of Nebraska,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Greater Birmingham Humane Society Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,3,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Greater Birmingham Humane Society,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Greenwood Humane Society Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Summer 2017,Summer 2017,2,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Greenwood Humane Society,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Heartland Family Service Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,6,2,0,0,3,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Heartland Family Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Humane Society of Pinellas: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Humane Society of Pinellas,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Humane Society of the Pikes Peak Region: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Summer 2017,Summer 2017,3,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Humane Society of the Pikes Peak Region: Pueblo Animal Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Imagine Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Summer 2017,Summer 2017,2,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),"Imagine, A Center for Coping with Loss",Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: Jacksonville Humane Society Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Spring 2017,Spring 2017,2,2,0,0,2,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Jacksonville Humane Society,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
VPA-UNO: LA County Time: 2016-17 (001),Knowledge/Info Sharing,Unpaid Services,Barbara Weitz Community Engagement Center (CEC),Students and faculty worked with the volunteer coordinator at the agency to conduct an evaluation of the organization’s volunteer program. The aim was to provide the agency with quantitative and qualitative data and feedback from the perspective of their volunteers with the goal of improving volunteer and organizational outcomes.,2016-17,Fall 2016,Fall 2016,2,2,0,0,1,1,0,N/A,satisfaction surveys,Volunteer Program Assessment-UNO (VPA-UNO),Los Angeles County Department of Animal Care and Control,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
